filename,fqn,namespace,name,current_support_level,new_support_level,scenario_file,scenario_plugin_type,matched_line
lib/ansible/module_utils/facts/network/fc_wwn.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/fc_wwn.py
lib/ansible/module_utils/facts/network/freebsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/freebsd.py
lib/ansible/module_utils/facts/network/generic_bsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/generic_bsd.py
lib/ansible/module_utils/facts/network/hpux.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/hpux.py
lib/ansible/module_utils/facts/network/hurd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/hurd.py
lib/ansible/module_utils/facts/network/iscsi.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/iscsi.py
lib/ansible/module_utils/facts/network/linux.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/linux.py
lib/ansible/module_utils/facts/network/netbsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/netbsd.py
lib/ansible/module_utils/facts/network/nvme.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/nvme.py
lib/ansible/module_utils/facts/network/openbsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/openbsd.py
lib/ansible/module_utils/facts/network/sunos.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/sunos.py
lib/ansible/module_utils/facts/other/facter.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/other/facter.py
lib/ansible/module_utils/facts/other/ohai.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/other/ohai.py
lib/ansible/module_utils/facts/packages.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/packages.py
lib/ansible/module_utils/facts/sysctl.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/sysctl.py
lib/ansible/module_utils/facts/system/apparmor.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/apparmor.py
lib/ansible/module_utils/facts/system/caps.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/caps.py
lib/ansible/module_utils/facts/system/chroot.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/chroot.py
lib/ansible/module_utils/facts/system/cmdline.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/cmdline.py
lib/ansible/module_utils/facts/system/date_time.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/date_time.py
lib/ansible/module_utils/facts/system/distribution.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/distribution.py
lib/ansible/module_utils/facts/system/dns.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/dns.py
lib/ansible/module_utils/facts/system/env.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/env.py
lib/ansible/module_utils/facts/system/fips.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/fips.py
lib/ansible/module_utils/facts/system/local.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/local.py
lib/ansible/module_utils/facts/system/lsb.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/lsb.py
lib/ansible/module_utils/facts/system/pkg_mgr.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/pkg_mgr.py
lib/ansible/module_utils/facts/system/platform.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/platform.py
lib/ansible/module_utils/facts/system/python.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/python.py
lib/ansible/module_utils/facts/system/selinux.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/selinux.py
lib/ansible/module_utils/facts/system/service_mgr.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/service_mgr.py
lib/ansible/module_utils/facts/system/ssh_pub_keys.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/ssh_pub_keys.py
lib/ansible/module_utils/facts/system/user.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/system/user.py
lib/ansible/module_utils/facts/timeout.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/timeout.py
lib/ansible/module_utils/facts/utils.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/utils.py
lib/ansible/module_utils/facts/virtual/base.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/base.py
lib/ansible/module_utils/facts/virtual/dragonfly.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/dragonfly.py
lib/ansible/module_utils/facts/virtual/freebsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/freebsd.py
lib/ansible/module_utils/facts/virtual/hpux.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/hpux.py
lib/ansible/module_utils/facts/virtual/linux.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/linux.py
lib/ansible/module_utils/facts/virtual/netbsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/netbsd.py
lib/ansible/module_utils/facts/virtual/openbsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/openbsd.py
lib/ansible/module_utils/facts/virtual/sunos.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/sunos.py
lib/ansible/module_utils/facts/virtual/sysctl.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/virtual/sysctl.py
lib/ansible/module_utils/firewalld.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/gcdns.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
